name,Reference,inchi,Organism,DetectedBy,TypeOfExperiment,TypeOfDetection,Comments,,,
"BlaR, sensor histidine kinase (beta-lactam antibiotics)",,,,BlaI,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=18,,,
Tyrosine,,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,TyrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=49,,,
Pre-queuosine1,,,,PreQ1,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=166,,,
Asn-tRNA,,,,T-box(Asn),,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=5,,,
Blue light,,,,PpsR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=357,,,
Fructose-6-phosphate,,"InChI=1S/C6H13O9P/c7-2-6(10)5(9)4(8)3(15-6)1-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/t3-,4-,5+,6-/m1/s1",,FruR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=74,,,
Gentisate,,"InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)",,GenR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=324,,,
Pyridoxal-5-phosphate,,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)",,PdxW,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=155,,,
S-adenosylmethionine,,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)",,SAM,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=47,,,
"Nickel ion, (Ni2+)",,InChI=1S/Ni,,NikR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=46,,,
Guanosine triphosphate,,"InChI=1S/C10H16N5O14P3/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(27-9)1-26-31(22,23)29-32(24,25)28-30(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",,CodY,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=238,,,
Raffinose,,"InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2/t5-,6-,7-,8+,9-,10-,11+,12+,13-,14-,15+,16+,17-,18+/m1/s1",,RafR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=327,,,
"3,3'-neotrehalosadiamine",,"InChI=1S/C12H24N2O9/c13-5-7(17)3(1-15)21-11(9(5)19)23-12-10(20)6(14)8(18)4(2-16)22-12/h3-12,15-20H,1-2,13-14H2/t3-,4-,5+,6+,7-,8-,9-,10-,11-,12+/m1/s1",,NtdR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=204,,,
"Magnesium ion, (Mg2+)",,InChI=1S/Mg,,Mg_sensor,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=141,,,
Hydrogen peroxide,,InChI=1S/H2O2/c1-2/h1-2H,,OhrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=13,,,
Choline,,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",,BetI,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=64,,,
Alpha-galactosides,,,,MsmR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=333,,,
Ramoplanin,,"InChI=1S/C106H170ClN21O30/c1-8-9-10-11-15-22-80(140)114-75(50-78(110)138)96(147)118-76(51-79(111)139)97(148)124-86(60-25-36-66(133)37-26-60)102(153)117-72(21-17-46-109)92(143)120-83(56(6)130)100(151)126-89(63-31-42-69(136)43-32-63)105(156)127-88(62-29-40-68(135)41-30-62)104(155)121-82(55(5)129)99(150)119-74(48-58-18-13-12-14-19-58)95(146)116-71(20-16-45-108)93(144)123-87(61-27-38-67(134)39-28-61)103(154)122-84(57(7)131)101(152)125-85(59-23-34-65(132)35-24-59)98(149)112-52-81(141)115-73(47-53(2)3)94(145)113-54(4)91(142)128-90(106(157)158)64-33-44-77(137)70(107)49-64/h10-15,18-19,22,53-57,59-77,82-90,129-137H,8-9,16-17,20-21,23-52,108-109H2,1-7H3,(H2,110,138)(H2,111,139)(H,112,149)(H,113,145)(H,114,140)(H,115,141)(H,116,146)(H,117,153)(H,118,147)(H,119,150)(H,120,143)(H,121,155)(H,122,154)(H,123,144)(H,124,148)(H,125,152)(H,126,151)(H,127,156)(H,128,142)(H,157,158)",,YtrA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=308,,,
Ferulic acid,,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",,PadR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=172,,,
Citrate,,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",,AcnR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=111,,,
Glucose,,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,BglR1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=146,,,
Nitric oxide,,InChI=1S/NO/c1-2,,Dnr,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=211,,,
Lysine,,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",,LysG,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=12,,,
Tungsten,,InChI=1S/W,,ModE3,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=315,,,
Beta-glucoside,,,,BglR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=34,,,
Nitric oxide,,InChI=1S/NO/c1-2,,NnrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=211,,,
Glycine,,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,GcvA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=144,,,
Lactose,,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2",,LacR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=210,,,
Rhamogalacturonate oligosaccharides,,,,HTCS_Rgu-1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=298,,,
Heat shock,,,,HspR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=150,,,
"HPr, phosphocarrier protein",,,,LicR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=53,,,
Formate,,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",,FdsR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=72,,,
Glycerate,,"InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)/t2-/m1/s1",,SdaR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=73,,,
N-acetylmuramate-6-phosphate,,"InChI=1S/C11H20NO11P/c1-4(10(15)16)22-9-7(12-5(2)13)11(17)23-6(8(9)14)3-21-24(18,19)20/h4,6-9,11,14,17H,3H2,1-2H3,(H,12,13)(H,15,16)(H2,18,19,20)/t4-,6-,7-,8-,9-,11?/m1/s1",,MurR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=175,,,
4-hydroxyproline,,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)",,HypR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=310,,,
Pyruvate,,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",,PdhR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=31,,,
"HPr, phosphocarrier protein",,,,ManR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=53,,,
Shikimate,,"InChI=1S/C7H10O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,4-6,8-10H,2H2,(H,11,12)/t4-,5-,6-/m1/s1",,QsuR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=253,,,
"Iron ion, (Fe2+)",,InChI=1S/Fe,,Fur,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=119,,,
Thiosulfate,,"InChI=1S/H2O3S2/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,CysL,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=135,,,
Sulfite,,"InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)/p-2",,CysL,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=70,,,
NADH,,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,Rex,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=90,,,
Cellobiose-6-phosphate,,,,CelR3,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=294,,,
Lysine,,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",,Lysine,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=12,,,
Sucrose,,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",,AglR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=199,,,
N-acetylglucosamine-6-phosphate,,"InChI=1S/C8H16NO9P/c1-3(10)9-5-7(12)6(11)4(18-8(5)13)2-17-19(14,15)16/h4-8,11-13H,2H2,1H3,(H,9,10)(H2,14,15,16)/t4-,5-,6-,7-,8?/m1/s1",,NagC,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=184,,,
Trp-tRNA,,,,T-box(Trp),,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=57,,,
Carbonyl cyanide m-chlorophenylhydrazone,,"InChI=1S/C9H5ClN4/c10-7-2-1-3-8(4-7)13-14-9(5-11)6-12/h1-4,13H",,MprA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=44,,,
Pectic galactan,,,,HTCS_Ara-2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=301,,,
Glycolate,,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)",,GlcC,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=37,,,
Adenosine diphosphate ribose,,"InChI=1S/C15H23N5O14P2/c16-12-7-13(18-3-17-12)20(4-19-7)14-10(23)8(21)5(32-14)1-30-35(26,27)34-36(28,29)31-2-6-9(22)11(24)15(25)33-6/h3-6,8-11,14-15,21-25H,1-2H2,(H,26,27)(H,28,29)(H2,16,17,18)/t5-,6-,8-,9-,10-,11-,14-,15-/m1/s1",,NrtR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=123,,,
Cellobiose-6-phosphate,,,,CelR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=294,,,
Maltose,,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2",,AglR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=137,,,
"LicB, lichenan-specific enzyme IIB PTS component",,,,LicR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=258,,,
Glucuronate,,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1",,UxuR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=21,,,
Glucuronate,,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1",,UxuR1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=21,,,
Gluconate,,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)",,GntR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=131,,,
Flavonoids,,,,YetL,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=122,,,
Oxygen,,InChI=1S/O2/c1-2,,FlpA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=22,,,
"Copper ion, (Cu2+)",,InChI=1S/Cu,,CopR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=9,,,
Heparin,,"InChI=1S/C26H42N2O37S5/c1-4(30)27-7-9(31)13(6(56-23(7)39)3-55-67(43,44)45)58-26-19(65-70(52,53)54)12(34)16(20(62-26)22(37)38)60-24-8(28-66(40,41)42)15(63-68(46,47)48)14(5(2-29)57-24)59-25-18(64-69(49,50)51)11(33)10(32)17(61-25)21(35)36/h5-20,23-26,28-29,31-34,39H,2-3H2,1H3,(H,27,30)(H,35,36)(H,37,38)(H,40,41,42)(H,43,44,45)(H,46,47,48)(H,49,50,51)(H,52,53,54)",,HTCS_Hep,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=302,,,
Alpha-mannans,,,,HTCS_Man-2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=307,,,
Ile-tRNA,,,,T-box(Ile),,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=14,,,
5-phosphoribosyl 1-pyrophosphate,,"InChI=1S/C5H13O14P3/c6-3-2(1-16-20(8,9)10)17-5(4(3)7)18-22(14,15)19-21(11,12)13/h2-7H,1H2,(H,14,15)(H2,8,9,10)(H2,11,12,13)",,PurR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=209,,,
Molybdate,,InChI=1S/Mo.4O,,,2*-1,,ModE,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=147
Uracil,,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",,RutR4,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=105,,,
Phenylalanine,,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)",,TyrR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=128,,,
Mannose,,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6?/m1/s1",,ManR1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=121,,,
"Cyclic 3',5'-AMP",,"InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",,Crp,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=96,,,
"YvfT, sensor histidine kinase",,,,YvfU,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=223,,,
Glucuronate,,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1",,AlgR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=21,,,
Sucrose,,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",,SuxR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=199,,,
4-hydroxyphenylpyruvate,,"InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)",,HmgQ,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=117,,,
"Iron ion, (Fe2+)",,InChI=1S/Fe,,IdeR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=119,,,
Cellobiose-6-phosphate,,,,CelQ,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=294,,,
Uracil,,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",,UraR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=105,,,
Glucuronate,,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1",,ExuR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=21,,,
"SgaB, ascorbate-specific PTS system EIIB component",,,,SgaR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=290,,,
Ribose,,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4-,5?/m1/s1",,RbsR1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=77,,,
Galacturonate,,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2+,3+,4-,6-/m0/s1",,ExuR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=183,,,
"Zinc ion, (Zn2+)",,InChI=1S/Zn,,AdcR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=112,,,
Hydrogen peroxide,,InChI=1S/H2O2/c1-2/h1-2H,,RosR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=13,,,
Heat shock,,,,CtsR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=150,,,
Glucosamine-6-phosphate,,"InChI=1S/C6H14NO8P/c7-3-5(9)4(8)2(15-6(3)10)1-14-16(11,12)13/h2-6,8-10H,1,7H2,(H2,11,12,13)",,glmS,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=153,,,
Beta-glucoside,,,,BglR3,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=34,,,
L-malate,,"InChI=1S/C4H5O5/c5-2(4(8)9)1-3(6)7/h2H,1H2,(H,6,7)(H,8,9)/q-1/p-2/t2-/m0/s1",,MleR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=278,,,
Paraquat,,"InChI=1S/C12H14N2/c1-13-7-3-11(4-8-13)12-5-9-14(2)10-6-12/h3-10H,1-2H3/q+2",,AzrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=45,,,
"Iron ion, (Fe2+)",,InChI=1S/Fe,,DtxR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=119,,,
Lactate,,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)",,DVU3023,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=232,,,
"Manganese ion, (Mn2+)",,InChI=1S/Mn,,PerR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=177,,,
Nitric oxide,,InChI=1S/NO/c1-2,,NmlR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=211,,,
Arabinose,,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,AraC,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=58,,,
Fucose,,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3+,4+,5-,6?/m0/s1",,FucR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=212,,,
"Zinc ion, (Zn2+)",,InChI=1S/Zn,,SmtB,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=112,,,
2-aminoethylphosphonate,,"InChI=1S/C2H8NO3P/c3-1-2-7(4,5)6/h1-3H2,(H2,4,5,6)",,PhnR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=273,,,
Maltose,,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2",,MalR1/MalR2/MalR3,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=137,,,
Tyrosine,,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,PhhR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=49,,,
Sorbitol,,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1",,GutR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=229,,,
Heme,,"InChI=1S/C34H34N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h7-8,13-16H,1-2,9-12H2,3-6H3,(H4,35,36,37,38,39,40,41,42);",,Irr,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=8,,,
Nigerose-6-phosphate,,,,NigR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=346,,,
Molybdenum,,InChI=1S/Mo,,ModE2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=195,,,
Choline,,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",,GbsR (YuaC),,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=318,,,
rhizopine,,"InChI=1S/C7H15NO5/c1-13-7-4(10)2(8)3(9)5(11)6(7)12/h2-7,9-12H,8H2,1H3/t2-,3-,4+,5+,6-,7-",,MocR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=337,,,
"Cadmium, ion (Cd2+)",,InChI=1S/Cd/q+2,,CadR-PbrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=152,,,
N-acetylmannosamine-6-phosphate,,"InChI=1S/C8H16NO9P/c1-4(11)9-5(2-10)7(13)8(14)6(12)3-18-19(15,16)17/h2,5-8,12-14H,3H2,1H3,(H,9,11)(H2,15,16,17)/t5-,6-,7-,8-/m1/s1",,NanR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=312,,,
Tetrahydrofolate,,"InChI=1S/C19H23N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,11-12,21,23H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)",,THF,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=285,,,
L-lactate,,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m0/s1",,LldR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=39,,,
Sucrose,,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",,CscR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=199,,,
Oxygen,,InChI=1S/O2/c1-2,,FnrN,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=22,,,
"Manganese ion, (Mn2+)",,InChI=1S/Mn,,Mur,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=177,,,
Thiamine pyrophosphate,,"InChI=1S/C12H18N4O7P2S/c1-8-11(3-4-22-25(20,21)23-24(17,18)19)26-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7H,3-4,6H2,1-2H3,(H4-,13,14,15,17,18,19,20,21)/p+1",,TPP,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=133,,,
Glycine,,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,Glycine,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=144,,,
Glucosamine-6-phosphate,,"InChI=1S/C6H14NO8P/c7-3-5(9)4(8)2(15-6(3)10)1-14-16(11,12)13/h2-6,8-10H,1,7H2,(H2,11,12,13)",,GlmR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=153,,,
PyrR,,,,PyrR,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=102,,,
Maltose,,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2",,MalR3,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=137,,,
Homocysteine,,"InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)",,MtaR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=197,,,
Arginine,,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)",,LysG,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=207,,,
Ribose,,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4-,5?/m1/s1",,RbsR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=77,,,
Oxygen,,InChI=1S/O2/c1-2,,Fnr,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=22,,,
Rhodamine 6G,,"InChI=1S/C28H30N2O3/c1-6-29-23-15-25-21(13-17(23)4)27(19-11-9-10-12-20(19)28(31)32-8-3)22-14-18(5)24(30-7-2)16-26(22)33-25/h9-16,29H,6-8H2,1-5H3/p+1",,AcrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=88,,,
Gamma-linolenic acid,,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",,FatR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=241,,,
